Video	Video title	Video publish time	Average view duration	Unique viewers	Average percentage viewed (%)	Views	Watch time (hours)	Subscribers	Impressions	Impressions click-through rate (%)
zi3HJRze-yk	TINY SLASHER AND 1 CONTACT DUNK WITH FREE THROWS AT MYPARK!! UPDATE WITH SLASHER BUILD!!	"Jan 29, 2017"	0:03:38	159	47.84	178	10.8107	0	1882	5.15
kb9UXYwTGg4	#1 RANKED *DRIBBLER* vs #1 RANKED *SHARP* on NBA 2K18!! HILARIOUS GAME WINNING ANKLEBREAKER CHOKE!	"Apr 21, 2018"	0:04:40	126	36.12	136	10.6029	0	2893	3.21
tyv44b29ApI	"MASSIVE NBA 2K19 LEAKS, PRIVATE PRO-AM, E3 GAMEPLAY?!?! #2KDRAMAALERT"	"Jun 7, 2018"	0:05:28	94	60.4	115	10.4959	0	4228	1.21
QnhNYxtUhI8	IF YOU THINK NBA 2K17 IS THE WORST GAME OF ALL TIME... YOU HAVEN'T PLAYED THIS GAME!!	"Nov 23, 2016"	0:03:47	149	37	164	10.3672	0	2810	4.09
w7yJtFKDKPs	PLAYING NBA 2K10!!! KOBE HITS THE JORDAN POSE IN-GAME!!!	"Aug 22, 2016"	0:03:55	125	43.06	158	10.3372	0	3333	3.66
64aFnxT18SU	BEST PRO 5 ON MYPARK EMBARRASSES TEAM OF SUPERSTARS!!	"Nov 15, 2016"	0:02:50	201	70.92	214	10.1596	0	2355	4.88
a76bShpwaH8	ENTIRE TEAM OF POST SCORERS ON NBA 2K17!! POST SCORER EXPERIMENT!!	"Jan 27, 2017"	0:05:09	111	47.27	118	10.1331	0	2315	2.89
j5ykdxJNLYI	GRINDING BADGES IN PUBLIC	"Oct 19, 2017"	0:03:17	160	32.51	183	10.0148	0	3589	3.82
IC1bZ51Iv5c	THE MOST DOMINANT BUILD IN NBA 2K18...	"Sep 20, 2017"	0:03:10	166	38.6	189	9.9917	1	3506	3.71
DcdYkoYRZ6Y	my life is falling apart...	"Dec 30, 2017"	0:02:24	228	30.85	248	9.9251	0	3237	5.68
VwdjjH5zRQ0	"NBA 2K COMMUNITY EXPOSED!!! 100,000,000,000 VIEEWWSS!!!"	"Aug 6, 2016"	0:04:42	99	22.13	126	9.89	0	3814	2.36
CH8XAL7a2pk	NBA 2K17 CONFIRMED GARBAGE REACTION	"Jul 23, 2016"	0:03:11	157	24.29	184	9.7958	0	4664	3.24
OM5HXtmxlPk	LEAVING MY HOUSE FOR THE FIRST TIME SINCE NBA 2K18 LAUNCH	"Oct 28, 2017"	0:02:33	198	31.13	224	9.569	0	3309	4.84
nQcMeoDJIPk	NBA 2K17 - BEST STRATEGIES TO EARN VC ON MYCAREER!!	"Oct 5, 2016"	0:02:22	209	30.66	236	9.3672	0	5610	3.21
KILtROuGxuc	99 OVR HOF PLATE CLEANER REACTS TO COMMENTS... I QUIT	"Jul 19, 2017"	0:01:47	261	20.57	312	9.305	0	3249	7.39
2MM0YR0VI6k	I GOT A SPECIAL OFFER FROM NBA 2K!!! NEW DEADLY BUILD ON MYPARK ??	"Apr 27, 2017"	0:05:56	78	58.63	92	9.1102	0	1897	2.06
